"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          35,      -4.703226581,      -4.096389501,       -4.51016916,      -4.343430258,      -5.635572375,      -1.823321137,   3.525156558e-06,      0.3116319194,                 3,                 3,                 3,              0.75,       2.634241887,       -1.50078966,      0.0830661946,    0.001685783848,      0.3283932522,     0.04340668461,       2.634241887,      0.0830661946,       -1.50078966,     -0.5697235579
          0,           0,          36,      -4.718797078,       -4.11094969,      -4.542165203,       -4.37200139,      -5.631024526,      -1.851521963,   3.532290812e-06,      0.3121687831,                 3,                 3,                 3,              0.75,       2.575334132,       -1.46535799,     0.08875333162,    0.001857459542,      0.3267907123,     0.04401772723,       2.575334132,     0.08875333162,       -1.46535799,     -0.5689972311
          0,           0,          37,      -4.729843702,       -4.12500757,      -4.572303605,      -4.400574973,      -5.626222346,      -1.879993644,   3.539660344e-06,      0.3127226997,                 3,                 3,                 3,              0.75,       2.520047069,      -1.429299764,     0.09387607177,    0.002035292245,      0.3257274131,     0.04444484135,       2.520047069,     0.09387607177,      -1.429299764,     -0.5671718523
          0,           0,          38,      -4.738379577,      -4.138680716,      -4.599780449,      -4.428544907,       -5.62113842,      -1.909293179,   3.547209053e-06,      0.3132894596,                 3,                 3,                 3,              0.75,       2.468288493,      -1.392632898,     0.09842712651,    0.002215688876,      0.3251644435,     0.04469609172,       2.468288493,     0.09842712651,      -1.392632898,     -0.5642099382
          0,           0,          39,      -4.745615409,      -4.152013971,      -4.623913561,      -4.455309432,      -5.615768207,      -1.938933227,   3.554884469e-06,      0.3138651447,                 3,                 3,                 3,              0.75,       2.419949172,      -1.355384211,      0.1024020143,    0.002395189713,      0.3250560028,     0.04478020394,       2.419949172,      0.1024020143,      -1.355384211,     -0.5600878837
          0,           0,          40,      -4.761829311,      -4.166273364,      -4.644220369,      -4.479665069,       -5.61007207,      -1.968321824,   3.561478152e-06,      0.3143595403,                 3,                 3,                 3,              0.75,       2.374922053,      -1.317573045,      0.1057995873,    0.002570411746,       0.325351099,     0.04470697285,       2.374922053,      0.1057995873,      -1.317573045,     -0.5547858058
          0,           0,          41,      -4.779979002,      -4.180491777,      -4.660512131,      -4.501582569,      -5.604025789,      -1.997227157,   3.567344196e-06,      0.3147992682,                 3,                 3,                 3,              0.75,        2.33307975,      -1.279233799,      0.1086206149,     0.00273825603,      0.3259948964,     0.04448657618,        2.33307975,      0.1086206149,      -1.279233799,     -0.5483026454
          0,           0,          42,      -4.793288693,       -4.19379162,      -4.672939642,      -4.521320744,      -5.597977929,      -2.025476593,    3.57323076e-06,      0.3152402532,                 3,                 3,                 3,              0.75,       2.294270525,      -1.240421163,      0.1108678036,    0.002895962685,      0.3269297326,     0.04412939269,       2.294270525,      0.1108678036,      -1.240421163,     -0.5406603751
          0,           0,          43,      -4.804437318,      -4.206498833,      -4.681896582,      -4.538596097,      -5.592111688,      -2.053418487,   3.579110272e-06,      0.3156804436,                 3,                 3,                 3,              0.75,       2.258332869,      -1.201197839,      0.1125463447,    0.003041022979,      0.3280965847,     0.04364615876,       2.258332869,      0.1125463447,      -1.201197839,     -0.5318958314
          0,           0,          44,      -4.814718886,      -4.218752045,      -4.687948899,      -4.553287708,      -5.585847472,       -2.08077414,   3.584960212e-06,      0.3161181728,                 3,                 3,                 3,              0.75,        2.22509762,      -1.161633779,      0.1136639078,    0.003171181403,      0.3294361943,     0.04304788298,        2.22509762,      0.1136639078,      -1.161633779,     -0.5220596924
          0,           0,          45,       -4.82474624,      -4.230615963,      -4.691751923,      -4.565448033,      -5.579238263,      -2.107093806,    3.59076317e-06,      0.3165521603,                 3,                 3,                 3,              0.75,        2.19439015,      -1.121805277,      0.1142305337,    0.003284434294,      0.3308901557,     0.04234573175,        2.19439015,      0.1142305337,      -1.121805277,     -0.5112150528
          0,           0,          46,      -4.834796409,      -4.242133911,      -4.693967031,      -4.575281695,      -5.572301392,      -2.132279779,   3.596506746e-06,      0.3169815015,                 3,                 3,                 3,              0.75,       2.166032517,      -1.081794044,      0.1142586095,    0.003379030333,      0.3324018418,      0.0415509097,       2.166032517,      0.1142586095,      -1.081794044,     -0.4994357358
